
InstanceId                                                                      FriendlyName                           
ACPI\QCOM0C5C\2&DABA3FF&2                                                       Qualcomm(R) FastRPC Device             
ACPI\VEN_QCOM&DEV_0C09&SUBSYS_CRD08380&REV_0001\0                               Qualcomm System MMU Device             
ACPI\VEN_QCOM&DEV_0C09&SUBSYS_CRD08380&REV_0001\1                               Qualcomm System MMU Device             
ACPI\QCOM0C16\16                                                                Qualcomm(R) Bus Device                 
ACPI\QCOM0C60\0                                                                 Qualcomm ADC Temperature Monitor Device
ACPI\QCOM0C61\0                                                                 Qualcomm ADC Temperature Monitor Device
ACPI\QCOM0C62\0                                                                 Qualcomm ADC Temperature Monitor Device
ACPI\QCOM0C63\0                                                                 Qualcomm ADC Temperature Monitor Device
ACPI\PNP0C14\ISET                                                               Microsoft Windows Management Interfa...
ACPI\QCOM0CA8\0                                                                 Qualcomm(R) Connection Security Device 
ACPI\VEN_QCOM&DEV_0CF2&SUBSYS_CRD08380&REV_0100\0                               Qualcomm CPU Core parking Policy Device
ACPI\QCOM0C2F\2&DABA3FF&2                                                       Qualcomm(R) System Manager Device      
ACPI\VEN_QCOM&DEV_0CFB&SUBSYS_CRD08380&REV_0100\0                               Qualcomm Modem BCL Policy Device       
ACPI\PNP0A05\USB__PLD_OBJECT_CONTAINER                                          Generic Bus                            


